Kod;Nazwa;Grupa;Jednostka;Ce.zak.netto;Ce.sprz.brutto;VAT;Ilość
3899;POLĘDWICA SOPOCKA SŁAWA;MIĘSO I WĘDLINY;kg;23,59;30,99;5;0,62
1533;SZYNKA WŁOSKA MAMMA MIA;MIĘSO I WĘDLINY;kg;29,62;37,99;5;0,008
1462;FILET Z PANGI KG;MIĘSO I WĘDLINY;kg;9,89;13,5;5;2,39
1464;FILET Z SOLI KG;MIĘSO I WĘDLINY;kg;19,49;25,5;5;1,595
34506;KARTA ORANGE 35;ogólna;szt.;27,18;35;23;-1
1475;PIECZEŃ RZYMSKA SMOL;MIĘSO I WĘDLINY;kg;15,95;19,99;5;-0,38
1493;JBB POLĘDWICA WIŚNIOWA;MIĘSO I WĘDLINY;kg;28,29;36,99;5;0,59
6630;OGONÓWKA ROGOWO;MIĘSO I WĘDLINY;kg;29,3;37,99;5;0,25
35535;BRAK 23%;ogólna;kg;14,21;17,49;23;1
1563;KIEŁBASA MYŚLIWSKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;28,9;39,5;5;3,367
6792;BRANZOLETKA;CATERING;szt.;0,48;0,99;23;16
1562;SERWOLATKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;37,1;47,99;5;0,006
6858;CUKIERKI FRESH&FRUIT KG;CATERING;kg;22,27;29,99;5;3,596
534;MALINA HISZPANIA;WARZYWA I OWOCE;szt.;11,9;15,99;5;2
530;KIEŁBASA HOLENDERSKA SMOL;MIĘSO I WĘDLINY;kg;14,02;17,99;5;0,011
549;KIEŁBASA BIAŁA DELIKATESOWA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;26,6;34,99;5;0,905
550;JBB KONSERWA WIEPSZOWA;MIĘSO I WĘDLINY;kg;23,59;32,99;5;1,54
486;JBB ŚLĄSKA;MIĘSO I WĘDLINY;kg;25,87;34,99;5;0,023
276;TRUSKAWKA KG KRAJ;WARZYWA I OWOCE;kg;17,14;23,99;5;0,17
477;SZYNKA MINI CZERNIEJEWO;MIĘSO I WĘDLINY;kg;30,9;41,99;5;3,254
287;KASZANKA GRILOWA;MIĘSO I WĘDLINY;kg;14,69;19,99;5;-0,048
283;SCHAB BIAŁY W KOPERKU ZYGUŁA;ZYGUŁA;kg;26,99;37,79;5;-0,392
288;KIEŁBASA ZIELONOGÓRSKA CZERNIEJEWO;CZERNIEJEWO;kg;27,8;37,99;5;1,646
5104;SER HAWRANUS LUZ;MIĘSO I WĘDLINY;kg;27,59;37,5;5;48,787
519;SERDELKI BIEGUN;ZYGUŁA;kg;17,25;21,99;5;-0,306
4999;CHLEB NA MAŚLANCE PIEKUŚ;CATERING;szt.;3,94;5,55;5;18
684;PIERŚ Z INDYKA;MIĘSO I WĘDLINY;kg;30,54;39,99;5;3,482
2260;PIERNIKI HRABINA;CUKIERKI/WAFLE/CIASTKA;kg;10,55;14,5;5;1,56
