Kod;Nazwa;Nazwa;Nazwa;CenaEw;CenaDet;Stawka;Stan
15648;KAWA MROŻONA AFFOGATO;Kawy;szt;4.5000;13,999983;23;0
16614;KWIECIŃSKI PIEKARNIA HERBATA ZIMOWA 200ML;Herbaty;szt;0.0000;12,999993;23;0
4583;SENDAL PIEROGI Z KAPUSTĄ I GRZYBAMI KG.;Garmażerka;kg;12.9900;17,989992;8;0
6083;MNIAAM MNIAAM KAPUSTA Z GROCHEM NA LUZ KG.;Garmażerka;kg;11.3600;15,94998;8;0
6504;MNIAAM MNIAAM SURÓWKA KG.;Garmażerka;kg;10.6900;14,989968;8;0
1285614;BAGIETKA KANAPKA 220G.;Garmażerka;szt;6.5300;8,489988;8;0
16154;BAGIETKA BAJGIEL Z TWAROŻKIEM 210G.;Garmażerka;szt;6.1600;8,650044;8;0
16157;BAGIETKA KANAPKA Z TUŃCZYKIEM I JAJKIEM 200G;Garmażerka;szt;6.5300;8,489988;8;0
16227;BAGIETKA LUNCH BOX CHIŃSKIE Z KURCZAKIEM I RYŻEM 350G.;Garmażerka;szt;10.9600;14,989968;8;0
16261;BAGIETKA LUNCH BOX HUMUS ZE ŚWIEŻYMI WARZYWAMI 350G;Garmażerka;szt;10.9600;14,989968;8;0
16303;BAGIETKA LUNCH B0X DORSZ Z RYŻEM I WARZYWAMI 350G;Garmażerka;szt;11.0200;14,989968;8;0
4365;BALON MIX KOLORÓW SZT;Pozostałe 2;szt;0.1975;0,290034;23;0
17489;BAGIETKA KANAPKA Z GRIL KURCZAK 200G.;Świeże;szt;5.9500;8,690004;8;0
14190;"O_TRANSPORTER RZEPINIANKA 6 GNIAZD	";Piwo;szt;24.4000;33,010002;23;0
5253;DESKA SZKŁO HART;Akcesoria kuchenne;szt;18.9919;29,989983;23;0
18251;SOLMED GYROS SZT.;Garmażerka;szt;7.0000;9,99;8;0
18254;SOLMED CARPAACCIO SZT.;Garmażerka;szt;5.0000;7,989948;8;0
18256;SOLMED GALARETKA DROBIOWA SZT.;Garmażerka;szt;6.5000;8,990028;8;0
18253;SOLMED JAJKA W SOSIE SZT.;Garmażerka;szt;5.0000;7,989948;8;0
18255;SOLMED KANAPKA SZT.;Garmażerka;szt;5.0000;7,989948;8;0
18252;SOLMED SAŁATKA FIT SZT.;Garmażerka;szt;7.0000;9,99;8;0
18283;BOBRÓWKO SYROP ZIOŁOWY 330ML;Syropy;szt;13.1300;19,990044;8;0
18295;KARNET ULGOWY PIĘCIOPRZEJAZDOWY SZT.;Kiosk;szt;5.8400;6,699996;8;0
18308;LODY WŁOSKIE MAŁE SZT.;Lody;szt;0.0000;6,000048;8;0
18307;LODY WŁOSKIE DUŻE SZT.;Lody;szt;0.0000;7,999992;8;0
18325;KACZMARCZYK MAŚĆ PROPOLISOWA 50ML;Parafarmacja;szt;27.0000;42,989976;23;0
4936509;COCA COLA 350ML VANILLA PUSZ;Gazowane;szt;2.7800;4,099959;23;0
18380;USŁUGA INFORMACYJNO HANDLOWA;BON;szt;1.0000;0;23;0
16159;BAGIETKA SAŁATKA CEZAR 300G.;Garmażerka;szt;10.6900;14,989968;8;0
16160;BAGIETKA SAŁATKA Z KURCZAKIEM 450G.;Garmażerka;szt;11.6700;15,990048;8;0
10675;MNIAAM MNIAAM BUŁKA BIAŁA SZT.;Świeże;szt;2.9300;3,49002;8;0
10676;MNIAAM MNIAAM BUŁKA CIEMNA OMEGA SZT.;Świeże;szt;3.3300;3,989952;8;0
5384;SENDAL PRAWDZIWY ŻUREK Z NASZEJ PIEKARNI SZT.;Świeże;szt;4.5900;6,390036;8;0
657;SPOŁEM BUŁKA WYBOROWA 90G.;Świeże;szt;0.5500;0,750054;23;0
18351;X TREME SOUR POTTY WC LIZAK 19G;Lizaki;szt;2.4500;3,989997;23;0
13907;LUZ CUK.PSZCZOLKA BLUE ICE KG;Luz Cukierki;kg;15.4500;25,990023;23;0
13908;LUZ CUK.HILDEBRAND ZAJACZKI W CZEKOLADZIE KG;Luz Cukierki;kg;19.7900;32,989953;23;0
14741;MIESZKO CUK KLEJNOTY PIS/;Luz Cukierki;kg;16.3900;31,989963;23;0
16640;PACZKA ŚWIĄTECZNA;Słodycze;szt;19.5500;34,990056;23;0
16641;PACZKA ŚWIĄTECZNA PREMIUM;Słodycze;szt;29.1700;49,990029;23;0
2513;WAWEL CUKIERKI LUZ 2 STREFA CZERWONA;Luz Cukierki;kg;25.9909;39,990006;23;0
3932;PTASIE MLECZKO LUZ;Luz Cukierki;kg;8.9900;28,989993;23;0
13917;LUZ CUK JEDNOŚĆ CIUT LUZ;Luz Cukierki;kg;17.3700;29,989983;23;0
13918;LUZ CUK ROKSANA GUMIAKI LUZ;Luz Cukierki;kg;14.7800;26,990013;23;0
